rank,date,ticker,name,isin,market,trade_republic_status,previous_open,previous_close,previous_high,previous_low,body,body_pct,last_volume,avg_volume_20d,relative_volume,return_5d,return_10d,return_20d,atr_14,atr_pct,close_position,distance_to_20d_high_pct,gap_pct,score,classification,news_check,notes
6,2026-05-18,AMZN,Amazon,US0231351067,USA,N/A,263.86,264.68,268.85,262.53,0.81,0.31,19749816,44834859.4,0.44,-1.43,-2.54,6.79,7.32,2.76,0.34,5.25,N/A,26.67,Descartar,N/A,cuerpo alcista reducido. volumen relativo debil. cierre lejos del maximo diario. gap no disponible.
6,2026-05-18,CRM,Salesforce,US79466L3024,USA,N/A,172.89,178.9,180.78,171.8,6.0,3.47,7914342,11889641.35,0.67,0.67,-3.67,-4.08,7.25,4.06,0.79,8.2,N/A,44.44,Descartar,Pendiente revisión manual,buen cuerpo alcista. volumen relativo debil. gap no disponible.
6,2026-05-18,WLN.PA,Worldline,N/A,France,Pendiente validar,0.28,0.29,0.29,0.27,0.0,5.86,25158622,23546185.15,1.07,13.4,13.05,-3.81,0.0,7.6,0.92,10.08,-1.02,63.0,Media prioridad,Pendiente revisión manual,fuerte vela alcista. cierre cerca de maximos.
6,2026-05-18,RBLX,Roblox,N/A,USA,Disponible,42.82,46.98,47.6,42.65,4.16,9.72,16117500,14595670.0,1.1,13.73,-1.24,-24.02,3.45,7.35,0.87,37.12,N/A,61.11,Media prioridad,Pendiente revisión manual,fuerte vela alcista. cierre cerca de maximos. gap no disponible.
7,2026-05-18,NFLX,Netflix,US64110L1061,USA,N/A,86.4,89.68,89.82,86.33,3.28,3.79,20922013,35479286.25,0.59,4.89,-1.53,-5.49,2.44,2.72,0.96,5.6,N/A,43.33,Descartar,Pendiente revisión manual,buen cuerpo alcista. volumen relativo debil. cierre cerca de maximos. gap no disponible.
7,2026-05-18,TTD,The Trade Desk,N/A,USA,Disponible,20.99,22.27,22.58,20.99,1.28,6.1,20444400,19269140.0,1.06,3.49,-7.59,-7.4,1.32,5.92,0.81,11.67,N/A,61.11,Media prioridad,Pendiente revisión manual,fuerte vela alcista. cierre cerca de maximos. gap no disponible.
8,2026-05-18,SHOP,Shopify,CA82509L1076,USA,N/A,99.12,102.4,102.52,98.7,3.28,3.31,4705132,13090325.8,0.36,-0.13,-19.71,-24.22,6.24,6.09,0.97,34.08,N/A,42.22,Descartar,Pendiente revisión manual,buen cuerpo alcista. volumen relativo debil. cierre cerca de maximos. gap no disponible.
8,2026-05-18,DTE.DE,Deutsche Telekom,DE0005557508,Germany,Pendiente validar,27.39,28.79,28.79,27.31,1.4,5.11,7083781,7307689.55,0.97,4.31,6.59,-2.7,0.68,2.35,1.0,3.33,N/A,60.0,Media prioridad,Pendiente revisión manual,fuerte vela alcista. volumen relativo debil. cierre cerca de maximos. gap no disponible.
8,2026-05-18,ACN,Accenture,N/A,USA,Disponible,167.75,177.55,177.55,165.87,9.8,5.84,5363900,5855800.0,0.92,3.02,-1.43,-8.98,7.33,4.13,1.0,12.38,1.43,60.0,Media prioridad,Pendiente revisión manual,fuerte vela alcista. volumen relativo debil. cierre cerca de maximos.
9,2026-05-18,AIR.PA,Airbus,NL0000235190,France,N/A,165.5,170.38,172.14,164.74,4.88,2.95,1305197,1429757.2,0.91,-2.91,-3.29,-5.07,6.15,3.61,0.76,12.64,N/A,38.89,Descartar,Pendiente revisión manual,buen cuerpo alcista. volumen relativo debil. gap no disponible.
