ticker,name,isin,market
AAPL,Apple,US0378331005,USA
MSFT,Microsoft,US5949181045,USA
NVDA,Nvidia,US67066G1040,USA
TSLA,Tesla,US88160R1014,USA
AMZN,Amazon,US0231351067,USA
META,Meta Platforms,US30303M1027,USA
GOOGL,Alphabet,US02079K3059,USA
AMD,Advanced Micro Devices,US0079031078,USA
PLTR,Palantir,US69608A1088,USA
NFLX,Netflix,US64110L1061,USA
AVGO,Broadcom,US11135F1012,USA
COIN,Coinbase,US19260Q1076,USA
MSTR,MicroStrategy,US5949724083,USA
SHOP,Shopify,CA82509L1076,USA
UBER,Uber,US90353T1007,USA
